"dialogue" "label"
"69" "Look, you know how you're having a dream, and in the dream you gotta pee?" "1"
"70" "Yeah." "1"
"71" "Okay, and then you're like, 'Oh my god, there's no bathroom, what am I gonna do?', 'Oh! Someone's watching,' ''m gonna go in my pants.'" "1"
"72" "Right. And then you wake up, and in real life you actually have to pee." "1"
"73" "Yes." "1"
"74" "Yeah. Everybody has that." "1"
"75" "Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?" "1"
"76" "Right." "1"
"77" "Morgan! Morgan." "1"
"78" "So you woke up, and thought that we were..." "1"
"79" "Expecting." "1"
"80" "Yeah." "1"
"81" "Yes?" "1"
"82" "No." "1"
"83" "I had a dream about it. It was so real." "1"
"84" "If you wanted to have a kid, you wouldn't have done that." "1"
"86" "I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles." "1"
"87" "It's not helping your case, OK?" "1"
"88" "No, no, it's an attachment, it's not a-" "1"
"89" "You don't need that." "1"
"90" "I know. I had the surgery. I'm just trying to protect us. The future uses, and that's it. Just in case there's a monster in the closet, instead of, you know..." "1"
"91" "Shirts?" "1"
"92" "You know me so well. You finish all my sentences." "1"
"93" "You should have shirts in your closet." "1"
"94" "Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you." "1"
"95" "Yes." "1"
"96" "I will." "1"
"99" "Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way." "1"
"101" "I'm sorry, you giving out tickets or something?" "-1"
"102" "We need your help. Look, it's not overselling to say that the fate of the universe is at stake." "-1"
"103" "And who's we?" "1"
"104" "Hey, Tony." "1"
"105" "Bruce." "1"
"106" "Pepper." "1"
"107" "Hi." "1"
"108" "You okay?" "1"
"111" "From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence." "1"
"112" "Space. Reality. Power. Soul. Mind. And Time." "1"
"114" "Tell me his name again." "1"
"115" "Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him." "-1"
"116" "This is it... What's our timeline?" "1"
"117" "No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony..." "-1"
"118" "He can destroy life on a scale hitherto undreamt of." "-1"
"119" "Did you seriously just say hitherto undreamt of?" "-1"
"120" "Are you seriously leaning on the Cauldron of the Cosmos?" "-1"
"121" "Is that what this is.... ?" "1"
"123" "I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?" "-1"
"124" "No can do." "1"
"125" "We swore an oath to protect the Time Stone. With our lives." "-1"
"126" "And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so...." "1"
"127" "Stark Raving Hazelnuts." "1"
"128" "It's not bad." "1"
"129" "A bit chalky." "1"
"130" "A Hunka-Hulka Burning Fudge is our favorite." "1"
"131" "That's a thing?" "1"
"132" "Whatever. Point is: things change." "1"
"133" "Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos." "1"
"134" "And still conversely, it may also be his best chance against us." "1"
"135" "Well, if we don't do our jobs." "-1"
"136" "What is your job exactly, besides making balloon animals?" "-1"
"137" "Protecting your reality, douchebag." "-1"
"139" "Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now." "1"
"140" "Yeah, that's the... thing." "-1"
"141" "What do you mean?" "-1"
"142" "Two weeks ago, Vision turned off his transponder. He's offline." "-1"
"143" "What? Tony, you lost another super bot?" "-1"
"144" "I didn't lose him. He's more than that. He's evolving." "1"
"145" "Who could find Vision, then?" "1"
"146" "Shit.  Probably Steve Rogers." "1"
"147" "Oh, great." "1"
"148" "Maybe. But..." "1"
"149" "Call him." "1"
"150" "It's not that easy. God, we haven't caught up in a spell, have we?" "1"
"151" "No." "1"
"152" "The Avengers broke up. We're toast." "-1"
"153" "Broke up? Like a band? Like The Beatles?" "1"
"154" "Cap and I fell out hard. We're not on speaking terms." "-1"
"155" "Tony, listen to me. Thor's gone. Thanos is coming. It doesn't matter who you're talking to or not." "-1"
"157" "Say, Doc, you wouldn't happen to be moving your hair, would you?" "1"
"158" "Not at the moment, no." "1"
"160" "You okay?" "1"
"162" "Help him! Wong, Doc." "1"
"163" "Go! Got it!" "1"
"164" "F.R.I.D.A.Y., what am I looking at?" "1"
"165" "Not sure, I'm working on it." "1"
"166" "Hey! You might wanna put that Time Stone in your back pocket, Doc!" "1"
"167" "Might wanna use it." "1"
"170" "Ned, hey. I need you to cause a distraction." "1"
"171" "Holy shit! We're all gonna die! There's a spaceship!" "-1"
"174" "What's the matter with you kids? You've never seen a spaceship before?" "1"
"176" "F.R.I.D.A.Y., evac anyone south of 43rd Street, notify first responders." "1"
"177" "Will do." "1"
"180" "Hear me, and rejoice. You are about to die at the hands of the Children of Thanos. Be thankful, that your meaningless lives are now contributing to-" "-1"
"181" "I'm sorry, Earth is closed today! You better pack it up and get outta here." "1"
"182" "Stonekeeper...  Does this chattering animal speak for you?" "-1"
"183" "Certainly not. I speak for myself.  But you’re trespassing in this city and on this planet." "-1"
"184" "It means get lost, Squidward!" "-1"
"185" "He exhausts me." "1"
"187" "Bring me the Stone." "1"
"189" "Banner, you want a piece?" "1"
"190" "No, not really, but when do I ever get what I want?" "-1"
"191" "That's right." "-1"
"193" "Been a while. Good to have you, buddy." "1"
"194" "I just... I need to concentrate here for one second. Come on, come on, man." "1"
"195" "Where's your guy?" "1"
"196" "I don't know. We've sorta been havin' a thing." "1"
"197" "There's no time for a thing." "1"
"198" "I know." "1"
"199" "That's the thing right there. Let's go." "1"
"201" "Dude, you're embarrassing me in front of the wizards." "1"
"202" "Tony, I'm sorry.  Either I can't or he won't--" "1"
"203" "It's okay. Hey, stand down.  Keep an eye on him. Thank you." "1"
"204" "I have him." "1"
"205" "Damn it." "-1"
"207" "Where'd that come from?" "1"
"208" "It's nano-tech. You like it? A little someth--" "1"
"210" "Dr. Banner, if the rest of your green friend won't be joining us...." "1"
"212" "Gotta get that stone outta here, now." "1"
"213" "It stays with me." "1"
"214" "Exactly. Bye." "-1"
"216" "Tony, you okay? How we doing? Good? Bad?" "1"
"217" "Really, really good. Really good. Do you plan on helping out?" "-1"
"218" "I'm trying. He won't come out." "1"
"220" "Hammer." "1"
"222" "Come on, Hulk. What are you doing to me?  Come out! Come out! Come out!" "1"
"223" "Nooooooo!" "-1"
"225" "What do you mean, no?!" "-1"
"227" "Hey, man. What's up, Mr. Stark?" "1"
"228" "Kid, where'd you come from?" "1"
"229" "Field trip to MoMA." "1"
"231" "What is this guy's problem, Mr. Stark?" "1"
"232" "He's from space. He came here to steal a necklace from a wizard." "1"
"235" "Your powers are quaint. You must be popular with children." "-1"
"237" "It's a simple spell but quite unbreakable." "-1"
"238" "Then I'll take it off your corpse." "-1"
"240" "You'll find... removing a dead man's spell... troublesome." "-1"
"241" "You'll only wish you were dead.  NO!" "-1"
"242" "Kid, that's the wizard. Get on it." "1"
"243" "On it!" "1"
"245" "Not cool!" "-1"
"247" "Uhhh, Mr. Stark? I'm being beamed up!" "1"
"248" "Hang on, kid." "1"
"249" "Wong, you're invited to my wedding.  Give me a little juice, F.R.I.D.A.Y." "1"
"251" "Unlock 17-A.  Pete, you gotta let go. I'm gonna catch you." "1"
"252" "But you said save the wizard!  I can't breathe!" "-1"
"253" "You're too high up. You're running out of air." "-1"
"254" "Yeah! That makes sense." "1"
"256" "Mr. Stark, it smells like a new car in here!" "1"
"257" "Happy trails, kid. F.R.I.D.A.Y, send him home." "1"
"258" "Yep." "1"
"260" "OH, COME ON!" "-1"
"262" "Boss, incoming call from Miss Potts." "1"
"263" "Tony? Oh, my God. Are you all right? What's going on?" "-1"
"264" "Yeah, I'm fine. I just think we might have to push our 8:30 res." "1"
"265" "Why?" "-1"
"266" "Just 'cause I'll... probably not make it back for a while." "1"
"267" "Tell me you're not on that ship." "-1"
"268" "Yeah." "1"
"269" "God, no. Please tell me you're not on that ship." "-1"
"270" "Honey, I'm sorry. I'm sorry, I don't know what to say." "1"
"271" "Come back here, Tony. I swear to God…." "-1"
"272" "Pep…." "-1"
"273" "Come back here right now! Come back!" "-1"
"274" "Boss, we're losing her. I'm going, too…." "-1"
"276" "Oh my God!  I should have stayed on the bus...." "1"
"280" "Where you going?" "1"
"281" "The Time Stone's been taken. The Sanctum remains unguarded. What will you do?" "-1"
"282" "I'm gonna make a call." "1"
"286" "Sing it, Drax!" "1"
"288" "Why are we doing this again?" "-1"
"289" "It's a distress signal, Rocket. Someone could be dying." "-1"
"290" "I get that, but why are we doing it?" "1"
"291" "'Cause we're nice. And maybe whoever it is will give us a little cheddar cheese  for our help." "1"
"292" "Which isn't the point." "1"
"293" "Which isn't the point... I mean… if he doesn't pony up…." "1"
"294" "We'll take his ship." "1"
"295" "Exactly!" "1"
"296" "B-b-b-bingo!" "1"
"298" "We are arriving." "1"
"299" "All right, Guardians. Don't forget, this might be dangerous, so let's put on our mean faces.  Groot, put that thing away. Now. I don't wanna tell you again.  Groot." "-1"
"300" "I am Groot!" "1"
"301" "Whoa!" "-1"
"302" "Language!" "-1"
"303" "Hey!" "1"
"304" "Wow." "-1"
"305" "You got some acorns on you, kid." "1"
"306" "Ever since you got a little sap, you're a total d-hole. Keep it up, and I'm gonna SMASH THAT THING TO PIECES!" "-1"
"309" "What happened?" "1"
"310" "Looks like we're not getting paid." "1"
"312" "Wipers! Wipers! Get it off!" "1"
"315" "How the hell is this dude still alive?" "-1"
"316" "He is not a dude. You're a dude. This... this is a man. A handsome, muscular man." "1"
"317" "I'm muscular." "1"
"318" "Who are you kidding, Quill? You're one sandwich away from fat." "-1"
"319" "Yeah, right." "1"
"320" "It's true. You have gained a little weight…." "-1"
"322" "What? Gamora, do you think I'm…" "-1"
"323" "He is anxious. Angry. He feels tremendous loss and guilt." "-1"
"324" "It's like a pirate had a baby with an angel." "-1"
"325" "Wow. This is a real wake-up call for me. Okay. I'm gonna get a Bow-flex. I'm gonna commit. I'm gonna get some dumbbells." "1"
"326" "You know you can't eat dumbbells, right?" "1"
"327" "It's like his muscles are made of Cotati metal fibers." "1"
"328" "Stop massaging his muscles.  Wake him up." "1"
"329" "Wake." "1"
"331" "Who the hell are you guys?" "1"
"333" "The entire time I knew Thanos, he only ever had one goal: To bring balance to the Universe by wiping out half of all life. He used to kill people planet by planet, massacre by massacre...." "-1"
"334" "Including my own." "-1"
"335" "If he gets all six Infinity Stones, he can do it with the snap of his fingers, like this." "-1"
"336" "You seem to know a great deal about Thanos." "1"
"337" "Gamora... is the daughter of Thanos." "1"
"338" "Your father killed my brother." "-1"
"339" "Oh, boy. Stepfather. Technically, she hates him as much as you do." "1"
"340" "Families can be tough.  Before my father died, he told me I had a half-sister... that he imprisoned in Hel. Then she returned home, and stabbed me in the eye, so... I had to kill her. It's life, isn't it, I guess. Goes round and round and... I feel your pain." "-1"
"342" "And I feel your pain, as well. I mean it's not a competition, but I've been through a lot. My father killed my mother, then I had to kill my father. And that was hard. Probably even harder than having to kill a sister. Plus, I, came out of it with both of my eyes--" "-1"
"343" "I need a hammer, not a spoon….  How do I open this thing? Is there some sort of a four-digit code maybe… maybe a birth date or something…." "1"
"344" "What are you doing?" "1"
"345" "Taking your pod." "1"
"346" "No, you're not!  You'll not, be taking our pod today, sir." "1"
"347" "Quill. Are you making your voice deeper?" "1"
"348" "No." "1"
"349" "You are. You're imitating the god-man. It's weird." "1"
"350" "No I'm not." "1"
"351" "He just did it again!" "1"
"352" "This is my voice!" "1"
"353" "Are you mocking me?" "1"
"354" "Are you mocking me?" "1"
"355" "Stop it. You did it again." "1"
"356" "He's trying to copy me." "1"
"357" "Would you stop doing that? He's doing it first." "1"
"358" "Enough! We need to stop Thanos. Which means we need to find out where he's going next." "1"
"359" "Knowhere." "1"
"360" "He must be going somewhere." "1"
"361" "No. Knowhere? It's a place. We've been there. It sucks. Excuse me, that's our food." "1"
"362" "Not anymore." "1"
"363" "Thor… why would he go to Knowhere?" "1"
"364" "Because for years, the Reality Stone has been safely stored, there with a man we call the Collector." "1"
"365" "If it's with the Collector, then it's not safe. Only an idiot would give that man a stone." "-1"
"366" "Or a genius." "1"
"367" "How do you know he's not going for one of the other Stones?" "1"
"368" "There's six stones out there.  Thanos already has the Power Stone because he stole it last week, when he decimated Xandar. He stole the Space Stone from me when he destroyed my ship and slaughtered half my people. The Time and Mind Stones are safe on Earth. They're with the Avengers." "-1"
"369" "The 'Avengers'?" "1"
"370" "Earth's Mightiest Heroes." "1"
"371" "Like Kevin Bacon?" "1"
"372" "He may be on the team. I don't know. Haven't been there in a while. As for the Soul Stone, well, no one's ever seen that. No one even knows where it is. Therefore, Thanos can't get it. Therefore, he's going to Knowhere. Hence, he'll be getting the Reality Stone. You're welcome." "-1"
"373" "Then we have to go to Knowhere now." "1"
"374" "Wrong! Where we have to go, is Nivadellir." "-1"
"375" "That's a made up word." "-1"
"376" "All words are made up." "-1"
"378" "Hold up, Nidavellir is real?  Seriously? I mean, that place is a legend.  They make the most powerful, horrific weapons to ever torment the Universe. I would very much like to go there, please." "1"
"379" "The rabbit is correct, and clearly the smartest among you." "1"
"380" "Rabbit?" "-1"
"381" "Only Eitri the dwarf king can make me the weapon I need.  I assume you're the captain, sir?" "1"
"382" "You're very perceptive." "1"
"383" "You seem like a noble leader. Will you join me on my quest to Nidavellir?" "1"
"384" "Lemme just ask the captain. Oh, wait a second, it's me! Yeah, I'll go." "1"
"385" "Wonderful." "1"
"386" "Except for that I'm the captain." "1"
"387" "Quiet!" "1"
"388" "That's my backpack." "1"
"389" "Go sit down." "-1"
"390" "Look, this is my ship. And I'm not goin' to…  Wait, what kind of weapon are we talking about here?" "-1"
"391" "The Thanos killing kind." "-1"
"392" "Don't you think that we should all have a weapon like that?" "1"
"393" "No. You simply lack the strength to wield them. Your bodies will crumble as your minds collapse into the madness." "-1"
"394" "Is it weird that I wanna do it even more now?" "1"
"395" "A little bit. Yeah." "1"
"396" "If we don't go to Knowhere and Thanos retrieves another stone, he'll be too powerful to stop." "1"
"397" "He already is." "1"
"398" "I got it figured out. We got two ships, and a large assortment of morons. So me and Groot will go with the pirate-angel here, and the morons will go to Knowhere to try and stop Thanos. Cool? Cool." "-1"
"399" "So cool." "1"
"400" "For the record… I know that you're only going with him because it's where Thanos isn't." "1"
"401" "You know, you shouldn't talk that way to your captain, Quill.  Come on, Groot. Put that game down, you'll rot your brain." "1"
"402" "I bid you farewell and good luck, morons. Bye." "-1"
"407" "Vis? Is it the stone again?" "1"
"408" "It's as if it's speaking to me." "1"
"409" "What does it say?" "1"
"410" "I don't... I don't know. But something..." "1"
"412" "Tell me what you feel." "1"
"414" "I just feel you." "1"
"416" "So there's a 10 AM to Glasgow to give us more time together before you went back." "1"
"417" "What if I miss that train?" "1"
"418" "There is an 11." "1"
"419" "What if I missed all the trains? What if this time, I didn't go back?" "-1"
"420" "You gave Stark your word." "1"
"421" "I'd rather give it to you." "1"
"422" "There are people who are expecting me too, you know. We both made promises." "1"
"423" "Not to each other.  Wanda… for two years, we've stolen these moments, trying to see if this could work. And... I don't know.  You know what, I'm just gonna speak for myself -- I, I... I think..." "1"
"424" "It works." "1"
"425" "It works." "1"
"426" "Then stay. Stay with me." "1"
"428" "Or not. If I'm overstepping…" "1"
"430" "What are they?" "1"
"431" "What the stone was warning me about.  I have to go." "-1"
"432" "No, Vision. Vision, if that's true… then maybe going isn't the best idea." "1"
"433" "Wanda...I-" "1"
"435" "Vision!" "1"
"438" "The blade. It stopped me from phasing." "-1"
"439" "Is that even possible?" "1"
"440" "It isn't supposed to be.  My systems are failing.  I'm beginning to think... we should have stayed in bed." "-1"
"442" "Vis!" "1"
"444" "Give up the Stone, and she lives." "-1"
"449" "Hands off." "1"
"451" "Come on. Come on. Come on, you gotta get up. You gotta get up. Come on. Hey. Hey. We have to go." "1"
"452" "Please. Please leave." "1"
"453" "You asked me to stay.... I'm staying." "1"
"454" "Please." "1"
"455" "Get up." "1"
"461" "Get up." "1"
"462" "I can't." "1"
"463" "We don't wanna kill you. But we will." "-1"
"464" "You'll never get the chance again." "-1"
"466" "Can you stand?" "1"
"467" "Thank you, Captain." "1"
"468" "Let's get you on the jet." "1"
"469" "I thought we had a deal. Stay close, check in. Don't take any chances." "1"
"470" "I'm sorry. We just wanted time." "1"
"471" "Where to, Cap?" "1"
"472" "Home." "1"
"474" "Shh. We'll be safe. We'll be safe." "1"
"479" "Zehobereians…" "1"
"480" "Mother! Where's my mother?!" "-1"
"481" "Zen-Whoberis... Choose a side, or die." "-1"
"482" "Mother!" "-1"
"483" "One side is a revelation. The other, an honor known only to a few." "-1"
"485" "What's wrong, little one?" "1"
"486" "My mother. Where is my mother?" "-1"
"487" "What's your name?" "1"
"488" "Gamora." "1"
"489" "You're quite the fighter, Gamora. Come. Let me help you." "1"
"491" "Look. Pretty, isn't it? Perfectly balanced. As all things should be. Too much to one side, or the other…  Here. You try." "1"
"493" "Now go in peace, and meet your Maker." "1"
"495" "Concentrate. There! You've got it." "1"
"497" "Gamora. Do you know if these grenades are the blow off your junk kind or the gas kind? 'Cause I was thinking I might hang a couple on my belt right here. But I don't want to--" "-1"
"498" "I need to ask a favor." "1"
"499" "Yeah, sure." "1"
"500" "One way or another, the path that we're on leads to Thanos." "1"
"501" "Which is what the grenades are for.  I'm sorry. What's the favor?" "1"
"502" "If things go wrong… If Thanos gets me… I want you to promise me… you'll kill me." "-1"
"503" "What?" "1"
"504" "I know something he doesn't. If he finds out… the entire Universe could be at risk." "-1"
"505" "What do you know?" "1"
"506" "If I tell you, you'd know, too." "1"
"507" "If it's so important, shouldn't I?" "-1"
"508" "Only if you wanna die." "-1"
"509" "Why does somebody always have to die in this scenario?" "-1"
"510" "Just… trust me. And possibly, kill me." "-1"
"511" "I mean, I'd like to. I really would…" "-1"
"512" "Swear to me. Swear to me on your mother." "1"
"513" "Okay." "1"
"515" "Dude. How long have you been standing there?" "1"
"516" "An hour." "1"
"517" "An hour? Are you serious?" "1"
"518" "I've mastered the ability of standing so incredibly still... that I become invisible to the eye... watch." "1"
"520" "You're eating a zarg-nut." "1"
"521" "But my movement... was so slow... that it's imperceptible." "1"
"522" "Mmm, no." "1"
"523" "I'm sure I'm invisible." "1"
"524" "Hi, Drax." "1"
"525" "Damn it." "-1"
"527" "This place looks deserted." "1"
"528" "I'm reading movement from the third quadrant." "1"
"529" "Yep. I'm picking that up, too. Let's put it down right here." "1"
"531" "I don't have it." "1"
"532" "Everyone in the Galaxy knows you'd sell your own brother if you thought it would add the slightest trinket to your pathetic collection." "-1"
"534" "I know you have the Reality Stone, Tivan. Giving it to me will spare you a great deal of suffering." "-1"
"535" "I told you. I sold it." "-1"
"536" "Why would I lie?" "-1"
"537" "I imagine it's like breathing for you." "-1"
"538" "Like suicide." "-1"
"539" "So you do understand. Not even you would surrender something so precious." "-1"
"540" "I didn't know what it was." "1"
"541" "Then you're more of a fool than I took you for. Last chance, charlatan. Where's the Stone?" "-1"
"542" "Today..." "1"
"543" "Drax. Drax." "1"
"544" "...He pays for the deaths of my wife and daughter." "-1"
"545" "Drax, waaaaait!  Not yet, not yet, not yet.  Drax, Drax, Drax. He doesn't have the Stone yet. We get it, and then we can stop him. We have to get the Stone first. Yeah." "1"
"546" "No. No. For Ovette. For Camaria." "1"
"548" "Sleeeep." "1"
"551" "Okay. Gamora, Mantis, you go right. I'm...  The other right!" "1"
"553" "Why?  Why you? Daughter…" "-1"
"554" "That was quick." "1"
"556" "Magnificent! Magnificent!!!! Magnificent!!!!!!!" "1"
"558" "Is it sadness I sense in you, daughter? In my heart, I knew you still cared. But one ever knows for sure." "1"
"560" "Reality is often disappointing...that is, it was." "-1"
"561" "Now… reality can be whatever I want." "1"
"563" "You knew I'd come." "-1"
"564" "I counted on it. There's something we need to discuss, little one." "1"
"566" "NOOOOOO!" "1"
"567" "THANOS!!!" "-1"
"569" "Let her go, Grimace!" "-1"
"570" "Peter…" "1"
"571" "I told you to go right." "1"
"572" "Now? Really?" "1"
"573" "You let her go!" "1"
"574" "Ah, the boyfriend." "1"
"575" "I like to think of myself more as a Titan-killing long-term booty call. Let her go." "-1"
"576" "Peter…" "1"
"577" "Or I'm gonna blow that nut sack of a chin right off your face!" "-1"
"578" "Not him." "1"
"580" "You promised! You promised." "1"
"581" "Oh, daughter. You expect too much from him.  She's asked, hasn't she? Do it. [There is a very tense and unpleasant pause." "-1"
"583" "DO IT!!" "1"
"584" "I told you to go right." "1"
"585" "I love you, more than anything." "1"
"586" "I love you, too." "1"
"588" "I like you." "1"
"591" "Still no word from Vision?" "1"
"592" "Satellites lost him somewhere over Edinburgh." "1"
"593" "On a stolen Quinjet with four of the world's most wanted criminals." "-1"
"594" "You know they're only criminals because you've chosen to call them that, right, sir?" "-1"
"595" "My God, Rhodes, your talent for horseshit rivals my own." "-1"
"596" "If it weren't for those Accords, Vision would've been right here." "1"
"597" "I remember your signature on those papers, Colonel." "1"
"598" "That's right. And I'm pretty sure I've paid for that." "1"
"599" "You have second thoughts?" "1"
"600" "Not anymore." "1"
"602" "Mr. Secretary." "1"
"603" "You got some nerve. I'll give you that." "-1"
"604" "You could use some of that right now." "1"
"605" "The world's on fire. And you think, all is forgiven?" "-1"
"606" "I'm not looking for forgiveness. And I'm way past asking for permission. Earth just lost her best defender. So we're here to fight.  And if you wanna stand in our way... we'll fight you, too." "-1"
"607" "Arrest them." "-1"
"608" "All over it.  That's a court-martial. It's great to see you, Cap." "1"
"609" "You too, Rhodey." "1"
"610" "Well. You guys really look like crap. Must've been a rough couple of years." "1"
"611" "Yeah, well, the hotels weren't exactly five star." "1"
"612" "Uh, I think you look great.  Uh... heh... Yeah. I'm back." "1"
"613" "Hi, Bruce." "1"
"614" "Nat." "1"
"615" "This is awkward." "1"
"617" "So we gotta assume they're coming back, right?" "1"
"618" "And they can clearly find us." "1"
"619" "We need all hands on deck. Where's Clint?" "1"
"620" "After the whole Accords situation, he and Scott took a deal. It was too tough on their families, they're on house arrest." "-1"
"621" "Who's Scott?" "1"
"622" "Ant-Man." "1"
"623" "There's an Ant-Man and a Spider-Man? Okay, look… Thanos has the biggest army in the universe. And he is not gonna stop until he... he gets... Vision's Stone." "1"
"624" "Well then, we have to protect it." "1"
"625" "No, we have to destroy it. I've been giving a good deal of thought to this entity in my head, about its nature. But also, its composition. I think if it were exposed to a sufficiently powerful energy source, something, very similar to its own signature, perhaps… its molecular integrity could fail." "-1"
"626" "And you, with it. We're not having this conversation." "-1"
"627" "Eliminating the stone is the only way to be certain that Thanos can't get it." "-1"
"628" "That's too high a price." "-1"
"629" "Only you have the power to pay it.  Thanos threatens half the Universe. One life cannot stand in the way of defeating him." "-1"
"630" "But it should.  We don't trade lives, Vision." "-1"
"631" "Captain, 70 years ago, you laid down your life to save how many millions of people. Tell me, why is this any different?" "-1"
"633" "Because you might have a choice. Your mind is made up of a complex construct of overlays. J.A.R.V.I.S., Ultron, Tony, me, the Stone. All of them mixed together. All of them learning from one another." "1"
"634" "You're saying Vision isn't just the stone?" "1"
"635" "I'm saying that if we take out the stone, there's still a whole lot of Vision left. Perhaps the best parts." "1"
"636" "Can we do that?" "1"
"637" "Not me. Not here." "1"
"638" "You better find someone, and somewhere fast. Ross isn't exactly just gonna let you guys have your old rooms back." "1"
"639" "I know somewhere." "1"
"641" "You'll have the Kingsguard, and the Dora Milaje have been alerted." "1"
"642" "And the Border Tribe?" "1"
"643" "Those that are left." "1"
"644" "Send word to the Jabari as well. M'Baku likes a good fight." "1"
"645" "And what of this one?" "1"
"646" "This one may be tired of war.  But the White Wolf has rested long enough." "1"
"648" "Where's the fight?" "1"
"649" "On its way." "1"
"651" "In all the time I've served Thanos, I've never failed him. If I were to reach our rendezvous on Titan with the Time Stone still attached to your vaguely irritating person, there would be... judgement.  Give me... the stone." "-1"
"653" "Wow you're a seriously loyal piece of outerwear, aren't you?" "-1"
"654" "Yeah, uh, speaking of loyalty...." "1"
"656" "What the--" "1"
"657" "I know what you're gonna say." "1"
"658" "You should not be here." "1"
"660" "I was gonna go home--" "1"
"661" "I don't wanna hear it." "-1"
"662" "But it was such a long way down and I just thought about you on the way..." "1"
"663" "And now I gotta hear it." "1"
"665" "...And I kinda stuck to the side of the ship. And this suit is ridiculously intuitive, by the way. So if anything, it's kinda your fault that I'm here." "1"
"666" "God damnit..." "-1"
"668" "What did you just say?" "1"
"669" "I take that back. And now I'm here in space." "1"
"670" "Yeah.  Right where I don't want you to be. This isn't Coney Island. This isn't a field trip. It's a one-way ticket. You hear me? Don't pretend like you thought this through. You could not have possibly thought this through." "-1"
"671" "No. I did think this through." "1"
"672" "You could not have possibly thought this through." "-1"
"673" "It's just...you can't be a friendly neighborhood Spider-Man if there's no neighborhood." "1"
"675" "Okay. That didn't really make any sense, but you know what I'm trying to say." "1"
